Replicate,Watering,Phase,Variety,Leaf Water Potential,total leaf area (cm2),Photosynthesis,Stomatal Conductance,Transpiration Rate,Water Use Efficiency,Total Shoot Dry Weight,Specific Leaf Area,Total Root Mass,Specific root length (m/g)
1,Deficit,recovery,4841,-1.4,2204.84,8.180500022,0.184616768,2.672204727,4.466933657,25.889,0.015806438,11.5238,21.6627
1,Deficit,recovery,2789,-0.9,1651.06,3.186969676,0.146613477,2.909107732,1.641994748,22.029,0.015052056,6.7298,7.6038
1,Deficit,recovery,2778,-0.9,1913.95,4.153482287,0.064527912,2.124093678,1.561156964,35.8464,0.012661414,14.4528,7.6038
1,Deficit,recovery,Mara,-0.8,1945.62,5.532726744,0.033685429,0.650402657,0.303685156,28.1221,0.014420439,9.4764,12.8496
1,Control,recovery,4841,-1.04,3723.45,1.297467954,0.02517686,2.349993286,3.172726664,38.0692,0.01811087,13.1609,11.8596
1,Control,recovery,Mara,1.04,4589,7.582942549,0.065140333,2.344929105,5.293424862,48.2077,0.016966322,14.0839,12.5081
1,Control,recovery,2778,-0.9,4535.16,5.37001441,0.114278297,0.509596507,3.930910189,49.1997,0.017633021,20.3482,10.7874
1,Control,recovery,2789,-0.9,3357.41,2.889003946,0.034282704,2.551362481,1.764957472,40.7353,0.017499909,13.1414,12.2108
2,Control,recovery,2789,-0.6,2946.5,10.62323623,0.189007125,2.832612485,4.741877876,37.5711,0.015638684,15.5715,13.468
2,Control,recovery,2778,-0.9,3001.78,10.77957852,0.022809195,2.934840188,3.69280906,47.818,0.012451385,23.0204,11.6283
2,Control,recovery,Mara,-0.8,3258.72,8.997486747,0.194968319,1.02406341,3.849647395,38.7688,0.013903101,12.6275,10.2379
2,Control,recovery,4841,-0.9,3393.88,11.08932087,0.154167086,0.956784752,1.083374314,44.1124,0.014716075,17.4602,10.6917
2,Deficit,recovery,4841,-0.6,1293.91,5.868832621,0.142557188,1.857985252,6.752146765,23.9706,0.013042659,9.3301,15.4643
2,Deficit,recovery,2778,-0.86,1909.42,2.62942947,0.000293179,0.696612795,2.051155365,29.2504,0.012192664,14.9939,7.8148
2,Deficit,recovery,2789,-0.78,1828,8.338564029,0.008153607,2.395692389,6.466099819,20.6714,0.017145966,9.4137,8.9267
2,Deficit,recovery,Mara,-0.9,1766.95,9.199774441,0.092128315,1.01753395,6.216265116,24.125,0.012873953,8.1507,8.8511
3,Deficit,recovery,Mara,-1.1,2476.56,11.77713711,0.105901455,0.200840303,6.705060748,30.3419,0.01459212,8.3505,7.9198
3,Deficit,recovery,2789,-0.9,1964.25,10.79605825,0.197904033,1.795615753,1.27011176,21.322,0.016366022,7.7037,14.5751
3,Deficit,recovery,4841,-1.1,2171.93,4.700534264,0.042952231,0.894899363,4.178791309,28.8311,0.015155361,12.9441,2.6862
3,Deficit,recovery,2778,-0.8,2424.7,10.34372524,0.021342146,0.553415797,0.456882574,35.605,0.013399834,13.5408,12.5808
3,Control,recovery,2789,-0.9,3207.65,3.487479459,0.098523731,2.167456855,1.870410658,40.9264,0.016762035,11.9213,14.6856
3,Control,recovery,2778,-0.84,3903.37,3.868418657,0.165989334,2.231838047,6.099373611,52.8337,0.014557372,18.6843,6.2947
3,Control,recovery,Mara,-0.9,4114,1.468331535,0.162469552,1.735677319,1.877713764,47.1994,0.015501481,13.7897,18.4105
3,Control,recovery,4841,-1,3535.4,10.00037277,0.14878166,2.23839664,4.401092233,44.3584,0.015603043,16.6105,19.1694
4,Control,recovery,2789,-0.9,2330,5.367333061,0.09051771,0.430438295,1.120390918,40.3813,0.01436383,15.7919,19.6157
4,Control,recovery,Mara,-0.8,4174.98,8.149204639,0.092126228,1.962153204,0.163105538,40.5491,0.018287975,13.6179,11.2346
4,Control,recovery,2778,-0.84,4062.08,2.681171777,0.040975393,1.002613937,4.331709891,52.3882,0.015974705,23.153,9.137
4,Control,recovery,4841,-1,3598.88,9.8125903,0.088759739,2.808120656,2.822718905,42.2101,0.016967765,17.3523,10.5836
4,Deficit,recovery,4841,-0.4,1864,1.994023486,0.198418132,2.585849487,5.790024768,24.6362,0.015695256,8.2629,8.5576
4,Deficit,recovery,2778,-1,2251.09,1.459435977,0.058198667,2.74020809,4.704880159,33.8979,0.01486074,18.2283,8.2116
